Country,Country Name,Indicator Code,Indicator Name,Date,Year,Month,Calendar Date,Month-Year,Value
FIN,Finland,M.BPRM_DW.CPA_F410011.NSA.I21.FI,"Building permits (m2 floor area, SA)",2015M01,2015,Jan,01.01.2015,Jan'15,32.2
FIN,Finland,M.BPRM_DW.CPA_F410011.NSA.I21.FI,"Building permits (m2 floor area, SA)",2015M02,2015,Feb,01.02.2015,Feb'15,50.5
FIN,Finland,M.BPRM_DW.CPA_F410011.NSA.I21.FI,"Building permits (m2 floor area, SA)",2015M03,2015,Mar,01.03.2015,Mar'15,87.3
FIN,Finland,M.BPRM_DW.CPA_F410011.NSA.I21.FI,"Building permits (m2 floor area, SA)",2015M04,2015,Apr,01.04.2015,Apr'15,115.9
FIN,Finland,M.BPRM_DW.CPA_F410011.NSA.I21.FI,"Building permits (m2 floor area, SA)",2015M05,2015,May,01.05.2015,May'15,106.2
FIN,Finland,M.BPRM_DW.CPA_F410011.NSA.I21.FI,"Building permits (m2 floor area, SA)",2015M06,2015,Jun,01.06.2015,Jun'15,147.4
FIN,Finland,M.BPRM_DW.CPA_F410011.NSA.I21.FI,"Building permits (m2 floor area, SA)",2015M07,2015,Jul,01.07.2015,Jul'15,53.2
FIN,Finland,M.BPRM_DW.CPA_F410011.NSA.I21.FI,"Building permits (m2 floor area, SA)",2015M08,2015,Aug,01.08.2015,Aug'15,64.5
FIN,Finland,M.BPRM_DW.CPA_F410011.NSA.I21.FI,"Building permits (m2 floor area, SA)",2015M09,2015,Sep,01.09.2015,Sep'15,83.9
FIN,Finland,M.BPRM_DW.CPA_F410011.NSA.I21.FI,"Building permits (m2 floor area, SA)",2015M10,2015,Oct,01.10.2015,Oct'15,77.0
FIN,Finland,M.BPRM_DW.CPA_F410011.NSA.I21.FI,"Building permits (m2 floor area, SA)",2015M11,2015,Nov,01.11.2015,Nov'15,56.2
FIN,Finland,M.BPRM_DW.CPA_F410011.NSA.I21.FI,"Building permits (m2 floor area, SA)",2015M12,2015,Dec,01.12.2015,Dec'15,52.1
FIN,Finland,M.BPRM_DW.CPA_F410011.NSA.I21.FI,"Building permits (m2 floor area, SA)",2016M01,2016,Jan,01.01.2016,Jan'16,28.3
FIN,Finland,M.BPRM_DW.CPA_F410011.NSA.I21.FI,"Building permits (m2 floor area, SA)",2016M02,2016,Feb,01.02.2016,Feb'16,52.7
FIN,Finland,M.BPRM_DW.CPA_F410011.NSA.I21.FI,"Building permits (m2 floor area, SA)",2016M03,2016,Mar,01.03.2016,Mar'16,76.9
FIN,Finland,M.BPRM_DW.CPA_F410011.NSA.I21.FI,"Building permits (m2 floor area, SA)",2016M04,2016,Apr,01.04.2016,Apr'16,117.7
FIN,Finland,M.BPRM_DW.CPA_F410011.NSA.I21.FI,"Building permits (m2 floor area, SA)",2016M05,2016,May,01.05.2016,May'16,133.4
FIN,Finland,M.BPRM_DW.CPA_F410011.NSA.I21.FI,"Building permits (m2 floor area, SA)",2016M06,2016,Jun,01.06.2016,Jun'16,149.5
FIN,Finland,M.BPRM_DW.CPA_F410011.NSA.I21.FI,"Building permits (m2 floor area, SA)",2016M07,2016,Jul,01.07.2016,Jul'16,57.1
FIN,Finland,M.BPRM_DW.CPA_F410011.NSA.I21.FI,"Building permits (m2 floor area, SA)",2016M08,2016,Aug,01.08.2016,Aug'16,73.2
FIN,Finland,M.BPRM_DW.CPA_F410011.NSA.I21.FI,"Building permits (m2 floor area, SA)",2016M09,2016,Sep,01.09.2016,Sep'16,85.2
FIN,Finland,M.BPRM_DW.CPA_F410011.NSA.I21.FI,"Building permits (m2 floor area, SA)",2016M10,2016,Oct,01.10.2016,Oct'16,79.2
FIN,Finland,M.BPRM_DW.CPA_F410011.NSA.I21.FI,"Building permits (m2 floor area, SA)",2016M11,2016,Nov,01.11.2016,Nov'16,71.6
FIN,Finland,M.BPRM_DW.CPA_F410011.NSA.I21.FI,"Building permits (m2 floor area, SA)",2016M12,2016,Dec,01.12.2016,Dec'16,47.7
FIN,Finland,M.BPRM_DW.CPA_F410011.NSA.I21.FI,"Building permits (m2 floor area, SA)",2017M01,2017,Jan,01.01.2017,Jan'17,33.4
